Date,so2,nox,o3,pm2.5,pm10,co
11/19/2016,5,12,,52.817,50.927,
11/20/2016,5,8,,47.189,43.42,
11/21/2016,6,13,,78.687,69.259,
11/22/2016,12,38,,67.777,60.54,
11/23/2016,3,11,,48.587,44.305,
11/24/2016,3,14,,71.076,66.393,
11/25/2016,3,8,,68.149,62.124,
11/26/2016,3,12,,85.107,79.903,
11/27/2016,3,14,,,,
11/28/2016,3,12,,,,
11/29/2016,,,,,,
11/30/2016,,,,,,
12/01/2016,4,11.52,,39.27,37.06,
12/02/2016,4,11.955,,26.37,24.44,
12/03/2016,4,12.67,,33.3,31.3,
12/04/2016,4,11.949,,38.45,38.24,
12/05/2016,4,12.945,,25.79,25.69,
12/06/2016,,55,,32.06,31.21,
12/07/2016,4,12.77,,30.23,30.02,
12/08/2016,4,9.74,,33.49,32.1,
12/09/2016,4,13.334,,16.17,20.79,
12/10/2016,4,10.773,,12.67,15.31,
12/11/2016,4,12.857,,18.86,22.93,
12/12/2016,4,11.559,,11.92,19.19,
12/13/2016,4,14.192,,5.25,12.07,
12/14/2016,4,13.851,,7.44,14.22,
12/15/2016,4,12.077,,5.55,11.11,
12/16/2016,3,10.797,,7.49,13.25,
12/17/2016,3,11.061,,10.51,17.98,
12/18/2016,3,10.86,,13.38,21.7,
12/19/2016,3,16.61,,12.33,19.54,
12/20/2016,4,13.408,,17.07,26.16,
12/21/2016,4,13.193,,16.39,25.23,
12/22/2016,4,17.119,,18.75,27.39,
12/23/2016,4,18.135,,23.46,32.65,
12/24/2016,3,11.44,,31.9,41.09,
12/25/2016,5,14.709,,8.71,13.44,
12/26/2016,4,15.808,,10.51,15.38,
12/27/2016,5,11.149,,11.38,17.07,
12/28/2016,5,14.211,,12.53,17.35,
12/29/2016,4,16.88,,10.97,15.49,
12/30/2016,4,22.543,,,,
12/31/2016,4,8.966,,,,
