date,year,month,day,so2,nox,o3,pm2.5,pm10,co,aqi_pm25,aqi_pm10,aqi
5/23/2014,2014,5,23,,15.34620833,,0.1245,0.0,0.0,0.51875,0.0,0.51875
5/24/2014,2014,5,24,,15.974625,,0.125583333,0.0,0.000791667,0.5232638875,0.0,0.5232638875
5/25/2014,2014,5,25,,12.93233333,13.86504167,0.126291667,0.0,0.001291667,0.5262152791666667,0.0,0.5262152791666667
5/26/2014,2014,5,26,,11.17133333,,0.12325,0.0,0.0,0.5135416666666667,0.0,0.5135416666666667
5/27/2014,2014,5,27,,12.22266667,,0.125208333,0.0,0.0,0.5217013875000001,0.0,0.5217013875000001
5/28/2014,2014,5,28,,15.30941667,,0.122375,0.0,0.0005,0.5098958333333333,0.0,0.5098958333333333
5/29/2014,2014,5,29,,17.88083333,15.84516667,0.124875,0.0,0.001083333,0.5203125000000001,0.0,0.5203125000000001
5/30/2014,2014,5,30,,13.71275,14.44045833,0.123,0.0,0.0,0.5125000000000001,0.0,0.5125000000000001
5/31/2014,2014,5,31,,16.45091667,22.80916667,0.122791667,0.0,0.0,0.5116319458333334,0.0,0.5116319458333334
06/01/2014,2014,6,1,,16.10966667,17.62066667,0.124666667,0.0,0.002,0.5194444458333334,0.0,0.5194444458333334
06/02/2014,2014,6,2,,11.0885,18.956625,0.129458333,0.0,0.000625,0.5394097208333334,0.0,0.5394097208333334
06/03/2014,2014,6,3,,13.58191667,31.86208333,0.122916667,0.0,0.0,0.5121527791666667,0.0,0.5121527791666667
06/04/2014,2014,6,4,,10.599,20.4025,0.122166667,0.0,0.001458333,0.5090277791666667,0.0,0.5090277791666667
06/05/2014,2014,6,5,,12.647875,19.86125,0.122458333,0.0,0.0,0.5102430541666667,0.0,0.5102430541666667
06/06/2014,2014,6,6,2.092583333,13.29204167,18.57208333,0.122083333,0.0,0.002791667,0.5086805541666667,0.0,0.5086805541666667
06/07/2014,2014,6,7,,12.625125,20.24033333,0.123,0.0,0.000458333,0.5125000000000001,0.0,0.5125000000000001
06/08/2014,2014,6,8,2.75225,10.84241667,23.51208333,0.124,0.0,0.000666667,0.5166666666666667,0.0,0.5166666666666667
06/09/2014,2014,6,9,,10.209625,22.45929167,0.123333333,0.0,0.004208333,0.5138888875000001,0.0,0.5138888875000001
06/10/2014,2014,6,10,,11.93758333,21.57483333,0.127,0.002416667,0.000208333,0.5291666666666667,0.0022376546296296296,0.5291666666666667
06/11/2014,2014,6,11,,12.13833333,21.85570833,0.1215,0.0,0.001458333,0.50625,0.0,0.50625
06/12/2014,2014,6,12,3.670708333,12.41133333,32.41241667,0.12025,0.0,0.001416667,0.5010416666666667,0.0,0.5010416666666667
6/13/2014,2014,6,13,2.523541667,12.048375,22.97745833,0.1225,0.0,0.005208333,0.5104166666666667,0.0,0.5104166666666667
6/14/2014,2014,6,14,1.777375,10.35983333,21.563,0.120833333,0.0,0.144166667,0.5034722208333334,0.0,0.5034722208333334
